module	Assembly.barcode	MLST	HC1100	presence
module_101	ESC_AA8342AA_AS	36;24;9;270;17;11;25	CC_1	1
module_103	ESC_AA8342AA_AS	36;24;9;270;17;11;25	CC_1	1
module_104	ESC_AA8342AA_AS	36;24;9;270;17;11;25	CC_1	1
module_106	ESC_AA8342AA_AS	36;24;9;270;17;11;25	CC_1	1
module_107	ESC_AA8342AA_AS	36;24;9;270;17;11;25	CC_1	1
module_231	ESC_AA8342AA_AS	36;24;9;270;17;11;25	CC_1	1
module_66	ESC_AA8342AA_AS	36;24;9;270;17;11;25	CC_1	1
module_104	ESC_AC1492AA_AS	-431;24;9;13;17;11;159	CC_1	1
module_66	ESC_AC1492AA_AS	-431;24;9;13;17;11;159	CC_1	1
module_104	ESC_AC1493AA_AS	36;1918;9;13;17;11;25	CC_1	1
module_231	ESC_AC1493AA_AS	36;1918;9;13;17;11;25	CC_1	1
module_66	ESC_AC1493AA_AS	36;1918;9;13;17;11;25	CC_1	1
module_104	ESC_AC3467AA_AS	36;24;9;13;17;-8;25	CC_1	1
module_231	ESC_AC3467AA_AS	36;24;9;13;17;-8;25	CC_1	1
module_388	ESC_AC3467AA_AS	36;24;9;13;17;-8;25	CC_1	1
module_104	ESC_AC3598AA_AS	36;24;9;1556;17;11;25	CC_1	1
module_107	ESC_AC3598AA_AS	36;24;9;1556;17;11;25	CC_1	1
module_231	ESC_AC3598AA_AS	36;24;9;1556;17;11;25	CC_1	1
module_359	ESC_AC3598AA_AS	36;24;9;1556;17;11;25	CC_1	1
module_66	ESC_AC3598AA_AS	36;24;9;1556;17;11;25	CC_1	1
module_104	ESC_AC6069AA_AS	36;24;9;13;1203;11;25	CC_1	1
module_231	ESC_AC6069AA_AS	36;24;9;13;1203;11;25	CC_1	1
module_66	ESC_AC6069AA_AS	36;24;9;13;1203;11;25	CC_1	1
module_101	ESC_BA0869AA_AS	-4;24;9;13;17;11;25	CC_1	1
module_102	ESC_BA0869AA_AS	-4;24;9;13;17;11;25	CC_1	1
module_103	ESC_BA0869AA_AS	-4;24;9;13;17;11;25	CC_1	1
module_104	ESC_BA0869AA_AS	-4;24;9;13;17;11;25	CC_1	1
module_106	ESC_BA0869AA_AS	-4;24;9;13;17;11;25	CC_1	1
module_107	ESC_BA0869AA_AS	-4;24;9;13;17;11;25	CC_1	1
module_231	ESC_BA0869AA_AS	-4;24;9;13;17;11;25	CC_1	1
module_66	ESC_BA0869AA_AS	-4;24;9;13;17;11;25	CC_1	1
module_101	ESC_BA1881AA_AS	36;24;9;13;421;11;25	CC_1	1
module_102	ESC_BA1881AA_AS	36;24;9;13;421;11;25	CC_1	1
module_103	ESC_BA1881AA_AS	36;24;9;13;421;11;25	CC_1	1
module_104	ESC_BA1881AA_AS	36;24;9;13;421;11;25	CC_1	1
module_106	ESC_BA1881AA_AS	36;24;9;13;421;11;25	CC_1	1
module_107	ESC_BA1881AA_AS	36;24;9;13;421;11;25	CC_1	1
module_66	ESC_BA1881AA_AS	36;24;9;13;421;11;25	CC_1	1
module_101	ESC_BA5128AA_AS	36;24;9;13;17;8;25	CC_1	1
module_102	ESC_BA5128AA_AS	36;24;9;13;17;8;25	CC_1	1
module_103	ESC_BA5128AA_AS	36;24;9;13;17;8;25	CC_1	1
module_104	ESC_BA5128AA_AS	36;24;9;13;17;8;25	CC_1	1
module_106	ESC_BA5128AA_AS	36;24;9;13;17;8;25	CC_1	1
module_107	ESC_BA5128AA_AS	36;24;9;13;17;8;25	CC_1	1
module_231	ESC_BA5128AA_AS	36;24;9;13;17;8;25	CC_1	1
module_66	ESC_BA5128AA_AS	36;24;9;13;17;8;25	CC_1	1
module_104	ESC_BA8531AA_AS	36;24;9;565;17;11;25	CC_1	1
module_66	ESC_BA8531AA_AS	36;24;9;565;17;11;25	CC_1	1
