pseudo_ID	hc1100	phylotype	compare2EB	completeness	contamination
iso001	CC_420	F	FALSE	99.97	1.25
iso002	CC_449	F	FALSE	99.97	0.04
iso003	CC_12	F	FALSE	99.97	0.09
iso004	CC_12	F	FALSE	99.97	0.09
iso005	CC_12	F	FALSE	99.97	0.04
iso006	CC_12	F	FALSE	99.97	0.04
iso007	CC_12	F	FALSE	99.97	0.04
iso008	CC_12	F	TRUE	99.64	4.02
iso009	CC_12	F	FALSE	99.64	0.19
iso010	CC_12	F	FALSE	99.64	0.17
iso011	CC_12	F	FALSE	99.64	0.17
iso012	CC_12	F	FALSE	99.86	0.09
iso013	CC_12	F	FALSE	99.86	0.09
iso014	CC_12	F	FALSE	99.86	0.09
iso015	CC_399	F	FALSE	99.97	0.04
iso016	CC_399	F	FALSE	99.97	0.58
iso017	CC_399	F	FALSE	99.97	0.52
iso018	CC_399	F	FALSE	99.97	1.26
iso019	CC_399	F	FALSE	99.97	0.52
iso020	CC_399	F	FALSE	99.97	0.66
iso021	CC_399	F	FALSE	99.97	0.52
iso022	CC_399	F	FALSE	99.97	0.52
iso023	CC_128	G	FALSE	99.97	0.39
iso024	CC_497	G	FALSE	99.97	0.36
iso025	CC_497	G	FALSE	99.97	0.33
iso026	CC_497	G	FALSE	99.97	0.33
iso027	CC_497	G	FALSE	99.97	0.33
iso028	CC_319	B2	FALSE	99.97	0.21
iso029	CC_52	B2	FALSE	99.97	0.33
iso030	CC_52	B2	TRUE	100	96.84
iso031	CC_153	B2	FALSE	99.97	0.08
iso032	CC_153	B2	FALSE	99.97	0.08
iso033	CC_153	B2	FALSE	99.97	0.08
iso034	CC_153	B2	FALSE	99.97	0.08
iso035	CC_153	B2	FALSE	99.63	1.52
iso036	CC_153	B2	FALSE	99.97	0.08
iso037	CC_153	B2	FALSE	99.97	0.08
iso038	CC_153	B2	FALSE	99.97	0.08
iso039	CC_153	B2	FALSE	99.97	0.08
iso040	CC_153	B2	FALSE	99.97	0.08
iso041	CC_153	B2	FALSE	99.97	0.08
iso042	CC_153	B2	FALSE	99.52	0.08
iso043	CC_153	B2	FALSE	99.52	0.08
iso044	CC_153	B2	FALSE	99.97	0.12
iso045	CC_153	B2	FALSE	99.97	0.12
iso046	CC_153	B2	FALSE	99.97	0.12
iso047	CC_153	B2	FALSE	99.97	0.12
iso048	CC_153	B2	FALSE	99.97	0.08
iso049	CC_153	B2	TRUE	100	100.46
iso050	CC_153	B2	FALSE	99.97	0.04
iso051	CC_153	B2	FALSE	99.97	0.38
iso052	CC_153	B2	FALSE	99.97	0.38
iso053	CC_153	B2	FALSE	99.97	0.38
iso054	CC_153	B2	FALSE	99.97	0.08
iso055	CC_153	B2	FALSE	99.97	0.08
iso056	CC_153	B2	FALSE	99.97	0.93
iso057	CC_153	B2	FALSE	99.97	0.12
iso058	CC_1	B2	FALSE	99.97	0.08
iso059	CC_1	B2	FALSE	99.97	0.1
